Controllers

,AdminController,AppointmentController,BlackoutController,CenterController,CourseController,JenzabarAdapter,LocationController,MaterialsController,NotificationController,ReportController,ReviewController,StudentController,SuperController,TutorController,VideoController
STU-023, , , , , , , , , , , , , , , ,
ALL-002, , , , , , , , , , , , , , , ,
TUT-013, , , , ,x, , , , , , , , ,x, ,
STU-001, , , , , , , , , , , , , , , ,
STU-002, , , , , , , , , , , , , ,x, ,
STU-020, ,x, , , , , , , , , , , , , ,
ALL-001, ,x, , ,x, , , , , , , , , , ,
TUT-003, , , , , , , , ,x, , , , , , ,
TUT-010, ,x, , , , ,x, , , , , , , , ,
STU-021, , , , , , , , , , , , , , ,x,
TUT-002, ,x, , , , , , , , , , , , , ,
TUT-011, ,x, , , , , , , , , , , , , ,
STU-003, , , , , , , , , , , , , , , ,
ADM-019,x, , , , , , , , , , , , , , ,
SYS-009, , , , , , , , , , , , , , , ,
TUT-005, ,x, , , , , , , , , , , , , ,
TUT-016, ,x, , , , , , , , , , , , , ,
STU-004, , , , , ,x, , , , , , , ,x, ,
ADM-018, , ,x, , , , , , , , , , , , ,
SYS-008, , , , , , , , , , , , , , , ,
TUT-004, , , , , , , , ,x, , , , , , ,
TUT-017, , , , , , , ,x, , , , , , , ,
STU-005, ,x, , , , , , , , , , , , , ,
STU-019, , , , , , , , , , ,x, , , , ,
STU-024, , , , ,x, , , , , , , , , , ,
ADM-008, , , ,x,x, , , , , , , , , , ,
TUT-007, ,x, , , , , , , , , , , , , ,
TUT-014, , , , , , , , , , , , , ,x, ,
STU-006, ,x, , , , , , , , , , , , , ,

Models

,AdminModel,AppointmentsModel,BlackoutModel,CourseModel,LocationModel,MaterialsModel,NotificationModel,ReviewModel,StudentModel,TutorModel,TutoringCenterModel,VideoModel
TUT-020, , , , , , , , , , , , ,
STU-010, ,x, , , , , , , , , , ,
ADM-001, , , , , , , , , ,x, , ,
ADM-012, , , , , , , , , ,x, , ,
SYS-002, ,x, , , , , , , , , , ,
SYS-011, , , , , , , , , ,x, , ,
TUT-001, ,x, , , , , , , , , , ,
TUT-012, ,x, , , , , , ,x, , , ,
STU-022, , , , , , , , , , , , ,
ALL-002, , , , , , , , , , , , ,
TUT-013, , , , , , , , , ,x, , ,
STU-001, ,x, , , , , , ,x, , , ,
STU-023, , , , , , , , , , , , ,
ALL-001, , , , , , , , , , , , ,
TUT-003, , , , , , ,x, , , , , ,
TUT-010, ,x, , ,x, , , , , , , ,
STU-002, , , , , , , , , , , , ,
STU-020, ,x, , , , , , , , , , ,
TUT-002, ,x, , , , , , , , , , ,
TUT-011, ,x, , , , , , , , , , ,
STU-003, , , , , , , , , , , , ,
STU-021, , , , , , , , , , , ,x,
TUT-005, ,x, , , , , , , , , , ,
TUT-016, ,x, , , , , , , , , , ,
STU-004, , , , , , , , , ,x, , ,
ADM-019, , , , , , ,x, , , , , ,
SYS-009, , , , , , , , , , , , ,
TUT-004, , , , , , ,x, , , , , ,
TUT-017, ,x, , , , , , , , , , ,
STU-005, , , , , , , , , , , , ,
ADM-018, , ,x, , , , , , , , , ,
SYS-008, , , , , , , , , , , , ,
TUT-007, ,x, , , , , , , , , , ,
TUT-014, , , , , , , , , ,x, , ,
STU-006, , , , , , , , , , , , ,
STU-019, , , , , , , ,x, , , , ,
STU-024, ,x, , , , , , , , , , ,
ADM-008, , , , , , , , , , ,x, ,
TUT-006, ,x, , , , , , , , , , ,
TUT-015, , , , , , , ,x, , , , ,
STU-007, , , , , , , , , , ,x, ,
STU-018, ,x, , , , , , , , , , ,
STU-025, ,x, , , , , , , , , , ,
ADM-009, , , , , , , , , ,x, , ,
TUT-009, ,x, , , , , , , , , , ,
STU-008, , , , , , ,x, , , , , ,
STU-017, , , , , , , , , , , , ,
ADM-006, , , , , , , ,x, , , , ,
ADM-015,x, , , , , , , ,x,x, , ,
SYS-005, , , , , , , , , , , , ,
TUT-008, ,x, , , , , , , , , , ,
STU-009, , , , , , , , , , , , ,
STU-016, , , , , , , , , , , , ,
ADM-007, , , , , , , , , , ,x, ,
ADM-014, , , , , , , , , ,x, , ,
SYS-004, , , , , , , , , , , , ,
TUT-018, ,x, , , , , , , , , , ,
STU-015, ,x, , , , , , , , , , ,
ADM-004, , , , , , , , , , , , ,
ADM-017, , , , ,x, , , , , , , ,
SYS-007, , , , , , , , , , , , ,
SYS-014, , , , , , ,x, , , , , ,
TUT-019, , , , , , , , , , , ,x,
STU-014, ,x, , , , , , , , , , ,
ADM-005, , , , , , , , , , ,x, ,
ADM-016, , , , , , , , , , , ,x,
SYS-006, , , , , , , , , , , , ,
STU-013, , , , , , ,x, , , , , ,
ADM-002, , , , , , , , , ,x, , ,
ADM-011, , , , , , ,x, , , , , ,
ADM-020, , , , , , , , , , , , ,
SYS-001, , , , , , , , , , , , ,
SYS-012, , , , , , , , , , , ,x,
STU-012, ,x, , , , , , ,x, , , ,
ADM-003, , , , , , , , , , , , ,
ADM-010, , , , , , , , , , , , ,
SYS-013, , , , , , , , , , , , ,
STU-011, , , , , , ,x, , , , , ,
ADM-013, , , , , , , , , ,x, , ,
SYS-003, , , , , , , , , , , , ,
SYS-010, , , , , , , , , , , , ,

Views

,AdminCenterDetailsJS,AdminCentersJS,AdminSettingsJS,AdminToolBarJS,AdminTutorJS,AdminVideosJS,AnnouncementsJS,AppointmentJS,CalendarJS,ReportMakerJS,StudentJS,TutorJS
TUT-020, , , , , , , , ,x, , , ,
STU-010, , , , , , , , , , , , ,
ADM-001, , , , ,x, , , , , , , ,
ADM-012, , , , ,x, , , , , , , ,
SYS-002, , , , , , , , , , , , ,
SYS-011, , , , , , , , , , , , ,
TUT-001, , , , , , , ,x, , , , ,
TUT-012, , , , , , , ,x, , ,x, ,
STU-022, , , , , , , , , , , , ,
ALL-002, , , , , , , , , , , , ,
TUT-013, , , , , , , , , , , ,x,
STU-001, , , , , , , , , , , , ,
STU-023, , , , , , , , , , , , ,
ALL-001, , , , , , , , , , , , ,
TUT-003, , , , , , , , , , , ,x,
TUT-010, , , , , , , ,x, , , , ,
STU-002, , , , , , , , , , , , ,
STU-020, , , , , , , , , , , , ,
TUT-002, , , , , , , ,x, , , , ,
TUT-011, , , , , , , , ,x, , , ,
STU-003, , , , , , , , , , , , ,
STU-021, , , , , , , , , , , , ,
TUT-005, , , , , , , ,x, , , , ,
TUT-016, , , , , , , ,x, , , , ,
STU-004, , , , , , , , , , , , ,
ADM-019, , , ,x, , , , , , , , ,
SYS-009, , , , , , , , , , , , ,
TUT-004, , , , , , , , , , , , ,
TUT-017, , , , , , , ,x, , , , ,
STU-005, , , , , , , , , , , , ,
ADM-018, , ,x, , , , , , , , , ,
SYS-008, , , , , , , , , , , , ,
TUT-007, , , , , , , ,x, , , , ,
TUT-014, , , , , , , , , , , ,x,
STU-006, , , , , , , , , , , , ,
STU-019, , , , , , , , , , , , ,
STU-024, , , , , , , , , , , , ,
ADM-008,x, , , , , , , , , , , ,
TUT-006, , , , , , , ,x, , , , ,
TUT-015, , , , , , , ,x, , , , ,
STU-007, , , , , , , , , , , , ,
STU-018, , , , , , , , , , , , ,
STU-025, , , , , , , , , , , , ,
ADM-009, , , , ,x, , , , , , , ,
TUT-009, , , , , , , ,x, , , , ,
STU-008, , , , , , , , , , , , ,
STU-017, , , , , , , , , , , , ,
ADM-006, , , , ,x, , , , , , , ,
ADM-015, , , ,x, , , , , , , , ,
SYS-005, , , , , , , , , , , , ,
TUT-008, , , , , , , ,x, , , , ,
STU-009, , , , , , , , , , , , ,
STU-016, , , , , , , , , , , , ,
ADM-007, , , , , , , , , , , , ,
ADM-014, , , , , , , , , , , , ,
SYS-004, , , , , , , , , , , , ,
TUT-018, , , , , , , ,x, , , , ,
STU-015, , , , , , , , , , , , ,
ADM-004, , , , , , , , , ,x, , ,
ADM-017, , , , , , , , , , , , ,
SYS-007, , , , , , , , , , , , ,
SYS-014, , , , , , , , , , , , ,
TUT-019, , , , , ,x, , , , , , ,
STU-014, , , , , , , , , , , , ,
ADM-005,x, , , , , , , , , , , ,
ADM-016, , , , , ,x, , , , , , ,
SYS-006, , , , , , , , , , , , ,
STU-013, , , , , , , , , , , , ,
ADM-002, , , , ,x, , , , , , , ,
ADM-011, , , ,x, , , , , , , , ,
ADM-020, , , , , , , , , , , , ,
SYS-001, , , , , , , , , , , , ,
SYS-012, , , , , , , , , , , , ,
STU-012, , , , , , , , , , , , ,
ADM-003, , , , , , ,x, , , , , ,
ADM-010, , , , , , , , , , , , ,
SYS-013, , , , , , , , , , , , ,
STU-011, , , , , , , , , , , , ,
ADM-013, , , , ,x, , , , , , , ,
SYS-003, , , , , , , , , , , , ,
SYS-010, , , , , , , , , , , , ,

